root@eda-demo-control-plane:/# kubectl get crds
NAME                                                    CREATED AT
routerdeployments.services.eda.nokia.com                2025-11-24T13:47:14Z
routereflectorclients.protocols.eda.nokia.com           2025-11-24T13:47:34Z
routereflectorclientstates.protocols.eda.nokia.com      2025-11-24T13:47:34Z
routereflectors.protocols.eda.nokia.com                 2025-11-24T13:47:34Z
routereflectorstates.protocols.eda.nokia.com            2025-11-24T13:47:34Z
routers.services.eda.nokia.com                          2025-11-24T13:47:15Z
routerstates.services.eda.nokia.com                     2025-11-24T13:47:15Z
setupenvs.environment.eda.nokia.com                     2025-11-24T13:47:23Z
simlinks.core.eda.nokia.com                             2025-11-24T13:40:13Z
simnodes.core.eda.nokia.com                             2025-11-24T13:40:13Z
stateconfigs.services.eda.nokia.com                     2025-11-24T13:47:15Z
staticroutes.protocols.eda.nokia.com                    2025-11-24T13:47:34Z
subnetallocationpools.core.eda.nokia.com                2025-11-24T13:40:13Z
systeminterfaces.routing.eda.nokia.com                  2025-11-24T13:47:10Z
systeminterfacestates.routing.eda.nokia.com             2025-11-24T13:47:10Z
targetnodes.core.eda.nokia.com                          2025-11-24T13:40:13Z
techsupports.oam.eda.nokia.com                          2025-11-24T13:47:28Z
thresholds.oam.eda.nokia.com                            2025-11-24T13:47:28Z
thresholds.platformmetrics.eda.nokia.com                2025-11-24T13:40:13Z
topobreakouts.core.eda.nokia.com                        2025-11-24T13:40:13Z
topolinkmonitors.topologies.eda.nokia.com               2025-11-24T13:47:29Z
topolinks.core.eda.nokia.com                            2025-11-24T13:40:13Z
topolinkstates.topologies.eda.nokia.com                 2025-11-24T13:47:29Z
topologies.topologies.eda.nokia.com                     2025-11-24T13:47:29Z
topologygroupings.topologies.eda.nokia.com              2025-11-24T13:47:29Z
toponodes.core.eda.nokia.com                            2025-11-24T13:40:13Z
trafficrateoverlays.topologies.eda.nokia.com            2025-11-24T13:47:29Z
transactionresults.core.eda.nokia.com                   2025-11-24T13:40:13Z
transactions.core.eda.nokia.com                         2025-11-24T13:40:14Z
udpproxies.core.eda.nokia.com                           2025-11-24T13:40:14Z
userdeployments.aaa.eda.nokia.com                       2025-11-24T13:47:32Z
virtualnetworks.services.eda.nokia.com                  2025-11-24T13:47:15Z
virtualnetworkstates.services.eda.nokia.com             2025-11-24T13:47:15Z
vlans.services.eda.nokia.com                            2025-11-24T13:47:15Z
vlanstates.services.eda.nokia.com                       2025-11-24T13:47:14Z
volumeoverlays.components.eda.nokia.com                 2025-11-24T13:47:25Z
waitforinputs.core.eda.nokia.com                        2025-11-24T13:40:14Z
workflowdefinitions.core.eda.nokia.com                  2025-11-24T13:40:14Z
workflows.core.eda.nokia.com                            2025-11-24T13:40:14Z
root@eda-demo-control-plane:/#
root@eda-demo-control-plane:/# kubectl get crds | grep nokia | wc
    168     336   12936
root@eda-demo-control-plane:/#

